downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
Parameter name,Datatype,Default,Description,description(original),description(tutorial),description(template),description(README),namelist or section name,execution filename(.x),number for display order,order in souce code,initialization line,備考
natoms,``integer``,uninitialized(maybe 0)?,Number of atoms.,Total number of electrons in the system.,The number of atoms contained in the system (INTEGER).,natoms=4 ! Number of atoms in the unit cell,! number of atoms,system,makefort10.x,makefort10_02,makefort10_01,None,
posunits,``character(len=10) :: posunits``,"``""bohr""``","Unit used when specifying molecular structures, crystal structures, and lattice constants. Choose from bohr, crystal, or angstrom.",units for atomic positions (bohr| angstrom | crystal),Unit used in the calculation (STRING). bohr and crystal are implemented.,"posunits=""crystal""   ! units for atomic positions (bohr| amstrong | crystal)",! units for atomic positions (bohr| amstrong | crystal),system,makefort10.x,makefort10_01,makefort10_02,makefort10.f90:2175,
nxyz,``integer :: nxyz(3)``,``nxyz(:) = 1``,"Supercell size. You can independently specify integer values for nxyz(1), nxyz(2), and nxyz(3). Supercell extensions that deform the unit cell are not supported.",repetition of the cell in the three direction. Use this option for exploiting translational symmetries.,None,nxyz(1)=1    ! repetition of the cell in the three direction,! repetition of the cell in the three direction,system,makefort10.x,makefort10_09,makefort10_03,makefort10.f90:2177,
celldm,``real(8) :: celldm(6)``,".. code-block:: fortran

    celldm(1) = -1.d0
    celldm(2) = 1.d0
    celldm(3) = 1.d0
    celldm(4:6) = Pi/2.d0
",celldm. Specifies the lattice-vector lengths and inter-vector angles when defining a crystal structure. Follows the same convention as Quantum ESPRESSO.,they specify lattice vectors following Quantum Espresso's convention.,None,celldm(1) =   1.0   ! cell paramters as in PWSCF,! cell paramters as in PWSCF,system,makefort10.x,makefort10_07,makefort10_04,makefort10.f90:2162 -- 2165,
at,"``real(8) :: at(3, 3)``",``at = 0.0``,Not used.,None,None,None,".. code-block:: text

    ! lattice vector for non-orthorombic cells cannot
    ! be used together with celldm
    at(:,3)
",system,makefort10.x,,makefort10_05,makefort10.f90:2169,
phase,``double precision :: phase(3)``,``phase(:) = 0.d0``,"Specifies the phase (k-vector) attached to spin-up electrons. The unit is the reciprocal lattice vector; i.e., the Brillouin-zone boundary corresponds to 0.5. Independent values can be set for the x, y, and z directions via phase(1), phase(2), and phase(3).",phase factors for up electrons,None,phase(1)=0.5     ! phase for APBC can be only 0 or 0.5,! phase for APBC can be only 0 or 0.5,system,makefort10.x,makefort10_10,makefort10_06,makefort10.f90:2175,
phasedo,``double precision :: phasedo(3)``,``phasedo(:) = 0.d0``,"Specifies the phase (k-vector) attached to spin-down electrons. The unit is the reciprocal lattice vector; i.e., the Brillouin-zone boundary corresponds to 0.5. Independent values can be set for the x, y, and z directions via phase(1), phase(2), and phase(3).",phase factors for down electrons,None,None,None,system,makefort10.x,makefort10_11,makefort10_07,"makefort10.f90:2176, 2270 -- 2273, 2275 -- 2283, 2563 -- 2566",
pbcfort10,``logical``,``.true.``,Whether periodic boundary conditions are applied to the wave function.,it generates a fort.10 for PBC if it is .true.,periodic boundary condition (BOOLEN).,if .true. PBC ; if .false. open boundary,".. code-block:: text

    ! it generates a fort.10 for PBC if it is .true.
    ! if it is .false. generates a fort.10 for open boundary
    ! default .true.
",system,makefort10.x,makefort10_05,makefort10_08,makefort10.f90:2179,
complexfort10,``logical``,complexfort10 = ``.false.`` ! flag for creating a complex wave function,Whether the wave function is treated as complex-valued.,it generates a complex fort.10 if it is .true.,None,None,complexfort10=.false. ! if .true.  define a complex wf for twisted PBC.,system,makefort10.x,makefort10_04,makefort10_09,makefort10.f90:2180,
real_contracted,``logical``,``.false.``,Not used.,None,None,None,"real_contracted=.false. ! If true atomic contracted orbitals are assumed to     be real, so the imaginary part is not read and one can use the standard  contracted  coefficients output of turbo-genius.",system,makefort10.x,None,makefort10_10,makefort10.f90:2181,
ntyp,``integer`` :: ntyp ! Number of atomic types,ntyp = ``0`` ! not used if fort.10 are not read,Total number of element types in the system.,Total number of element types in the system.,The number of atomic species (INTEGER).,ntyp=1   ! Number of atomic species,None,system,makefort10.x,makefort10_03,makefort10_11,makefort10.f90:2184,
rs_read,``real(8)``,``-1.d0``,Not used.,None,None,None,None,system,makefort10.x,None,makefort10_12,makefort10.f90:2159,
write_log,``logical``,``.false.``,Not used.,None,None,! write_log=.false. ! default=.false. if it is true write the log ,".. code-block:: text

    write_log=.false. ! default=.false. if it is true write the log
                      ! file makefort10.log with all symmetry operations
",system,makefort10.x,None,makefort10_13,makefort10.f90:2185,
axyz,"``integer :: axyz(3, 3)``","3x3 Identity matrix

.. code-block:: fortran

    axyz = 0
    do i = 1, 3
        axyz(i, i) = 1.d0
    end do
",Not used.,None,None,None,".. code-block:: text

    ! matrix that multiples at(:,:) can
    ! be used in conbination with nxyz(:) that in this case
    ! multiply the new orthorombic cell generated by axyz

    axyz(:,:)
",system,makefort10.x,None,makefort10_14,makefort10.f90:2171 -- 2174,
nel_read,``integer``,ignore input value?,Not used.,None,None,None,None,system,makefort10.x,None,makefort10_15,?,
