Parameter name,Datatype,Default,Description
kp_type,"``integer``
",``0``,"- description(DFT):

This integer specifies the type of k-points which will be chosen in the calculation.

   - ``kp_type = 0``: Do not perform any k-points sampling and use the phase specified in the ``fort.10`` as the unique k-point.

   - ``kp_type = 1``: Use the Monkhorst-Pack algorithm to generate equally-spaced k-points in the first Brillouin zone. The size of the grid in the three Cartesian directions is determined by the integers ``nk1, nk2, nk3``. Note that ``nk1`` must be set to a value > 0. If ``nk2, nk3`` are not set, then they are taken to be equal to ``nk1``. Also, if skip_equivalence (see below) is set to ``.false.`` the number of k-points might be reduced.
                   In this case, run the tool ``find_kpoints.x`` with the desired input in order to know how many processors must be allocated.

   - ``kp_type = 2``: When this is used, k-points are set by the user and their number is specified by the integer ``nk1``. In this case, the section **KPOINTS** is needed (see below).

   - ``kp_type = 3``: Generates k-points path along high-symmetry lines in the first Brillouin zone. The initial and final points of these segments are specified in the section **KPOINTS** (see below). The number of extremal points is specified by the integer ``nk1`` and the number of points in each segment is specified by the integer ``nk2``.

   - ``kp_type = 4``: Generate k-points randomly within the first Brillouin zone. The number of k-points is specified by ``nk1``. **KPOINTS** section is not needed.
"
nk1,``integer``,``-1``,"Meanings depend on the value of kp_type, see above for a detailed explanation."
nk2,``integer``,"- if no input

  + ``nk1`` if manyfort10 is .true. and nbead <= 1
  + ``-1`` otherwise
","Meanings depend on the value of kp_type, see above for a detailed explanation."
nk3,``integer``,"- if no input

  + ``nk1`` if manyfort10 is .true. and nbread <= 1
  + ``-1`` otherwise
","Meanings depend on the value of kp_type, see above for a detailed explanation."
k1,``integer``,``0``,"For kp_type = 1, set k1, k2, k3 equal to 1 in order to apply an offset to the k-point grid generated by the Monkhorst-Pack algorithm. In some cases, this can help to reach"
k2,``integer``,``0``,"For kp_type = 1, set k1, k2, k3 equal to 1 in order to apply an offset to the k-point grid generated by the Monkhorst-Pack algorithm. In some cases, this can help to reach"
k3,``integer``,``0``,"For kp_type = 1, set k1, k2, k3 equal to 1 in order to apply an offset to the k-point grid generated by the Monkhorst-Pack algorithm. In some cases, this can help to reach"
time_reversal,"``logical``
",``.false.``,WIP
skip_equivalence,"``logical``
",``.true.``,WIP
double_kpgrid,"``logical``
","- ``.false.`` if no input

- ignore input

  + ``.true.`` if manyfort10 is .true. and nbead <= 1 and abs(kp_type) == 5",WIP
compute_bands,``logical``,``.false.``,WIP
