Parameter name,Datatype,Default,Description
ieser,``integer``,"- if no input

  + ``0`` if itestr == -5

  + if itestr /= -5

    - ``6`` itestr == -6 or itestr4 == -7
    - ``1`` otherwise
",WIP
iesinv,``integer``,"- ``0`` if no input

- ignore input

  + ``abs(iesinv)`` if iesinv < 0
","Integer (-1, 0 or 1). If \neq 0, the spin Jastrow factor matrix is optimized, if allowed in the input fort.10. If < 0, a range can be defined in the &fitpar section with rmaxinv."
iesm,``integer``,``0``,"Integer (0 or 1). If \neq 0, the exponent and/or the contracted coefficient of the basis defining the Jastrow are optimized. When itestr4 = -4,-9, only contracted coefficients are optimized if the basis contains them, otherwise yeszj=.true. is switched on and exponents are optimized."
iesd,``integer``,``0``,Integer (0 or 1). It acts as a switch for the 1-body and 2-body Jastrow.
isfix,``integer``,"- if itestr == -5

  + ``0`` (ignore input)

- if itestr /= -5

  + if no input

    + ``1`` if parcutg == 0
    + if parcutg /= 0

      - ``3`` if gamma /= 0.d0 and optbra /= 3
      - ``1`` otherwise
","Integer (0 or 1). If iesfix = 1, the variance of the energy is printed out (no optimization assumed)."
iesfree,``integer``,"- ``0`` if no input

- ignore input

  + ``abs(iesfree)`` if iesfree < 0","Integer (-1, 0 or 1). If \neq 0, the density Jastrow factor matrix is optimized. If < 0, a range can be defined in the &fitpar section with rmaxj."
iessw,``integer``,"- ``0`` no input

- ignore input

  + ``abs(iessw)`` if iessw < 0
","Integer (-1, 0 or 1). If \neq 0, the AGP matrix on the localized basis is optimized. If < 0, a range can be defined in the &fitpar section with rmax."
iesup,``integer``,``0``,"Integer (0 or 1). Same as the above, but for the determinantal part. yeszagp=.true. replaces yeszj in this case."
ieskin,``integer``,"- ``0`` if no input

- use input value or above value

  + ``ieskin = ieskin + 1`` if yespress is .true. and iespbc is .true. and itestr /= -5 then

  + use above value if ieskinold /= 0

    - ``ieskin = ieskin + 2`` if typedyncell == 1

    - ``ieskin = ieskin + 3`` if typedyncell == 2

    - ``ieskin = ieskin + 1`` if typedyncell == 3
","Integer (0 or 1). If nuclear forces have to be computed (especially with dynamics idyn > 0), set ieskin > 0."
yespress,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if iespbc is .false.
  + ``.false.`` if ieskinold == 0
",WIP
warp,``logical``,``.true.``,WIP
powerwarp,``real*8``,``4.d0``,WIP
add_pulay,``integer``,``2``,WIP
yespulay,``logical``,``.true.``,WIP
typedyncell,``integer``,"automatic (-2, -1, 0, or 3)","Integer value. typedyncell=0 means Standard NVT ensemble with no optimization of cell. typedyncell=1 implies fixed volume, but optimization of b/a and c/a at fixed volume V = a \times b \times c. typedyncell=2 stands for constant pressure, variable volume, optimizing a, b and c at pressfixed = constant. typedyncell=3 represents constant pressure and variable volume but without modifying b/a and c/a."
scalepulay,``real*8``,"- ``0.d0`` lrdmc_der is .true. and lrdmc_nonodes is .false.
- ``1.d0`` otherwise
",WIP
ext_pot,``logical``,``.false.``,WIP
