Parameter name,Datatype,Default,Description
tstep,``real*8``,"- if no input

  + ``2.d0`` if itest == 2
  + ``0.d0`` if itest /= 2",Time step for VMC moves. Adapted automatically.
hopfraction,``real*8``,``0.d0``,The hopping ratio used in the MCMC. See. subroutine hopping in detail.
epscut,``real*8``,"- if no input

  + ``0.00001d0`` if itest /= 1 and itestr4 /= -7

- ignore input

  + if itest == 1 or itestr4 == -7

    - ``0.d0`` if epscuttype == 0
    - ``epscuttype`` if epscuttype < 0
    - error if epscuttype > 0
","The threshold of regularization. epscut = 0 to be used only in the optimization of the Jastrow, when no regularization is necessary for finite variance energy derivatives. If epscut > 0, a regularization is applied (epscuttype=2) and finite variance forces and energy derivatives can be computed. It is tuned automatically starting from the value in input."
epstlrat,``real*8``,"- if no input

  + ``dsqrt(epsmach)`` if theta_reg == 0.5d0 and epstlrat is .true.",epstl = epstlrat*epscut. epstl is a precision control parameter used in subroutine ratio_psi() (if zero not used) dlamch(‘e’) is a lapack routine that returns the relative machine precision
epscuttype,``integer``,"- if no input

  + ``0`` if epscut == 0.d0
  + ``2`` if epscut > 0.d0
  + ``-1000`` if epscut < 0.d0

- ignore input

  + ``0`` if itest == 1 or itestr4 == -7","Accept default (0,2) determined by epscut. The type of regularization applied to the determinant. Type 0: no regularization. Type 2: best one. (Other options are possible but deprecated)."
alat2v,``real*8``,``0.d0``,not used. This will be removed in the future
shift,``real*8``,``0.d0``,unidentified
change_epscut,``logical``,"- ``.false.`` ignore input if itest /= 2
- ``.true.`` if no input
",automatic adjustment of epscut
change_tstep,``logical``,"- ``.false.`` ignore input if itest /= 2
- ``.true.`` if no input",automatic adjustment of tstep
epsvar,``real*8``,``0.0001d0``,epsvar is a precision control parameter used in subroutine ratiovar.f90 (if zero not used)
theta_reg,``real*8``,``0.375d0``,"ratiodet = 1.d0/ratiodet**theta_reg used in subroutine ratiovar.f90. Eq.(121) in the paper [J. Chem. Phys. 152, 204121 (2020)]."
true_wagner,``integer``,"- if no input

  + ``2`` if lrdmc_der is .true. and lrdmc_nonodes is .false.
  + ``-1`` otherwise",WIP
cutweight,``real*8``,"automatic (0.d0, 4*zmax, or others)",WIP
nbra_cyrus,``integer``,- ``0`` if itest == 1 or itestr4 == -7,WIP
typereg,``integer``,``0``,WIP
npow,``real*8``,``0.d0``,WIP
